id,title,season,episode,writers
1,THE SOPRANOS,2,3,David Chase
2,SEINFELD,5,2,Larry David|Jerry Seinfeld
3,THE TWILIGHT ZONE,1,1,Charles Beaumont|Richard Matheson|Robert Presnell|Rod Serling
4,ALL IN THE FAMILY,5,3,Norman Lear|Johnny Speight
5,M*A*S*H,2,2,Larry Gelbart
6,THE MARY TYLER MOORE SHOW,3,5,James L. Brooks|Allan Burns
7,MAD MEN,1,3,Matthew Weiner
8,CHEERS,5,2,Glen Charles|Les Charles|James Burrows
9,THE WEST WING,4,7,Aaron Sorkin
10,THE SIMPSONS,9,6,Matt Groening|James L. Brooks|Matt Groening|Sam Simon
11,I LOVE LUCY,6,2,Jess Oppenheimer|Madelyn Pugh|Bob Carroll
12,BREAKING BAD,5,5,Vince Gilligan
13,THE DICK VAN DYKE SHOW,3,2,Carl Reiner
14,HILL STREET BLUES,2,4,Michael Kozoll|Steven Bochco
15,ARRESTED DEVELOPMENT,4,1,Mitchell Hurwitz
16,TAXI,2,6,James L. Brooks|Stan Daniels|David Davis|Ed. Weinberger
